Site,K fresh,K weathered,Ca fresh,Ca weathered,Ti fresh,Ti weathered,Mn fresh,Mn weathered,Fe fresh,Fe weathered,Zn fresh,Zn weathered,Rb fresh,Rb weathered,Sr fresh,Sr weathered,Zr fresh,Zr weathered,Ba fresh,Ba weathered,Pb fresh,Pb weathered
Rumiqolqa,47255,47065,29657,25216,4925,5023,464,516,23029,23325,81,82,105,108,1021,978,230,223,1226,1274,22,26
,48187,46254,26604,26177,6460,4971,469,463,24104,23182,70,84,102,105,934,988,210,218,1400,1333,26,33
,44752,41029,26832,23982,4658,5272,431,1922,21158,24827,74,85,105,102,931,960,204,216,1144,1419,21,44
,47647,38831,25168,19313,4334,5808,394,621,20908,27155,65,107,92,92,955,902,203,208,1430,1341,26,43
,46297,47458,28163,27500,5083,5141,448,598,22029,24561,79,81,97,100,974,1001,202,214,1158,1299,18,25
,51826,43876,27929,26314,4791,5161,426,491,21232,22898,79,92,99,78,999,1036,220,225,1367,1201,20,24
,51899,47234,26333,24495,5965,5010,460,837,22809,25429,69,96,96,98,986,1039,209,215,1650,1454,21,34
,47955,31715,28850,24667,5014,4863,491,529,24329,23080,79,93,102,86,1034,1005,223,212,1402,1329,21,23
,49509,46481,29095,25462,4936,5770,457,552,22895,24440,82,74,101,102,1029,1001,215,214,1346,1601,23,21
,49053,50116,30083,26504,4772,6468,449,667,24029,26378,83,93,107,106,1046,1025,219,216,1547,1507,18,31
,49774,41658,29015,27155,5044,5781,476,550,23034,23907,70,82,100,100,1017,1004,209,208,1583,1545,20,23
,46690,46204,28870,24009,4620,6012,465,896,21310,25006,74,106,99,106,970,934,209,212,1369,1453,23,33
,46452,41022,28757,28093,4686,4902,424,1339,21958,22843,75,83,100,105,955,997,213,228,1351,1546,15,30
,51272,55422,30133,26439,5110,5195,461,656,23222,23773,99,86,106,100,1005,998,213,223,1503,1289,19,64
,49069,52446,27803,28908,5126,5023,467,471,22957,22984,83,81,99,104,992,1010,222,227,1309,1294,20,21
,48114,45705,29682,28747,4834,5657,444,671,21707,24282,66,82,102,92,994,977,210,212,1238,1329,22,20
,50158,45955,31623,28057,5484,5594,471,571,23738,25994,74,84,101,101,986,974,210,214,1298,1505,26,21
,45713,47390,27393,26442,4682,5452,437,652,22073,24629,65,77,97,99,991,981,211,216,1159,1451,21,26
,48825,51932,29567,20872,4623,4754,431,547,23697,23210,66,83,101,100,1012,1003,231,215,1444,1874,17,24
